City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,warrnambool,-38.3833,142.4833,20.35,66,100,4.18,AU,1732335323
1,adamstown,-25.066,-130.1015,23.02,87,100,6.74,PN,1732335324
2,codrington,-38.2667,141.9667,21.89,54,100,2.64,AU,1732335326
3,rio gallegos,-51.6226,-69.2181,8.03,66,0,8.75,AR,1732335328
4,grytviken,-54.2811,-36.5092,5.63,70,42,1.55,GS,1732335329
5,port-aux-francais,-49.35,70.2167,3.93,87,100,7.2,TF,1732335330
6,yakeshi,49.2833,120.7333,-4.99,76,100,1.39,CN,1732335331
7,blackmans bay,-43.0167,147.3167,26.07,45,100,2.64,AU,1732335332
8,bethel,41.3712,-73.414,4.2,88,40,2.06,US,1732335333
9,anadyr,64.75,177.4833,-2.72,86,100,5.0,RU,1732335334
10,kraksaan,-7.7585,113.3962,31.01,61,100,2.26,ID,1732335335
11,jamestown,42.097,-79.2353,5.01,96,100,3.6,US,1732335112
12,port alfred,-33.5906,26.891,19.54,83,53,2.68,ZA,1732335337
13,port hedland,-20.3167,118.5667,35.03,43,57,5.66,AU,1732335315
14,bredasdorp,-34.5322,20.0403,15.17,81,100,2.2,ZA,1732335339
15,atafu village,-8.5421,-172.5159,28.9,71,64,7.12,TK,1732335306
16,kalabo,-14.97,22.6814,22.37,65,99,1.02,ZM,1732335342
17,namibe,-15.1961,12.1522,21.72,80,100,0.79,AO,1732335343
18,tibati,6.4667,12.6333,18.23,43,2,1.66,CM,1732335345
19,tres pontas,-21.3667,-45.5125,16.3,95,94,1.69,BR,1732335346
20,cidreira,-30.1811,-50.2056,19.3,87,100,8.39,BR,1732335347
21,morton,46.7722,-101.2615,-4.32,90,100,3.24,US,1732335348
22,am timan,11.0297,20.2827,20.96,28,34,2.71,TD,1732335349
23,rongelap,11.1635,166.8941,28.4,76,19,8.05,MH,1732335350
24,iqaluit,63.7506,-68.5145,-4.15,93,100,4.12,CA,1732335351
25,puerto natales,-51.7236,-72.4875,4.9,67,75,6.4,CL,1732335352
26,mugia,43.1041,-9.2179,16.62,90,99,11.9,ES,1732335292
